"","cigar","D2_reads","D14_reads","D2_reads_per_thousand","D14_reads_per_thousand","D14_D2_ratio","rep","frame","ratio_normalised","log2_ratio_normalised"
"1","91M1I137M",12586,5729,146.688267037,88.5211452587,0.60346438776,"r1","Frameshift",0.346279426974512,-1.52999141767136
"2","90M1I138M",3505,1634,40.8503397396,25.2476088938,0.618051381084,"r1","Frameshift",0.35464972320403,-1.49553327328457
"3","87M9D132M",2277,2903,26.538152236,44.8554520311,1.69022513822,"r1","In-frame",0.96988356594376,-0.0441165320391576
"4","90M1D137M",2116,1045,24.6617172294,16.1467266181,0.654728398187,"r1","Frameshift",0.375695698282533,-1.41236349767794
"5","91M2I137M",1549,613,18.053402641,9.47171618845,0.524649916517,"r1","Frameshift",0.301054173433653,-1.73190497763076
"6","89M2D137M",1369,637,15.9555249939,9.84255010121,0.616874098783,"r1","Frameshift",0.353974176065133,-1.49828398153313
"7","90M2D136M",883,427,10.2912553467,6.59775336455,0.641102872516,"r1","Frameshift",0.367877110612274,-1.44270418055927
"8","77M16D135M",775,444,9.03252875841,6.86042738608,0.759524555037,"r1","Frameshift",0.435829740786432,-1.19816344634292
"9","90M9D129M",526,733,6.1304646799,11.3258857523,1.84747590006,"r1","In-frame",1.06011706572555,0.0842235863133151
"10","90M2I138M",522,278,6.08384517663,4.29549282282,0.706049003239,"r1","Frameshift",0.405144444670629,-1.30349173637803
"11","86M8D134M",489,262,5.69923427466,4.04827021431,0.710318267194,"r1","Frameshift",0.407594230119325,-1.2947944659478
"12","87M3D138M",483,623,5.62930501976,9.62623031876,1.7100210923,"r1","In-frame",0.981242863649262,-0.0273178383424958
"13","91M1D136M",402,181,4.68526007855,2.79670575874,0.596915798024,"r1","Frameshift",0.342521720724951,-1.54573261662861
"14","79M13D136M",357,192,4.16079066678,2.96667130209,0.713006622943,"r1","Frameshift",0.409136860152097,-1.28934457584009
"15","126M1D101M",340,299,3.96265777788,4.61997249648,1.1658772358,"r1","Frameshift",0.669002693985006,-0.579916074467588
"16","89M2I139M",332,152,3.86941877134,2.34861478082,0.606968363883,"r1","Frameshift",0.348290075603686,-1.52163873043627
"17","87M4D137M",329,124,3.83445414389,1.91597521593,0.499673524323,"r1","Frameshift",0.286722241090582,-1.80227427588077
"18","84M8D136M",222,118,2.58738243144,1.82326673774,0.704676168311,"r1","Frameshift",0.404356685687927,-1.30629962952083
"19","84M6D138M",221,264,2.57572755562,4.07917304037,1.58369740288,"r1","In-frame",0.908755910528411,-0.13803525256787
"20","87M5D136M",219,142,2.55241780399,2.1941006505,0.859616574949,"r1","Frameshift",0.493264459392616,-1.01956675262931
"21","90M6D132M",209,295,2.43586904582,4.55816684436,1.87126925078,"r1","In-frame",1.07377014620593,0.102685199637287
