"chr","hg19","hg38"
"17","41195076",43043059
"17","41195077",43043060
"17","41195078",43043061
"17","41195079",43043062
"17","41195080",43043063
"17","41195081",43043064
"17","41195082",43043065
"17","41195083",43043066
"17","41195084",43043067
"17","41195085",43043068
"17","41195086",43043069
"17","41195087",43043070
"17","41195088",43043071
"17","41195089",43043072
"17","41195090",43043073
"17","41195091",43043074
"17","41195092",43043075
"17","41195093",43043076
"17","41195094",43043077
"17","41195095",43043078
"17","41195096",43043079
"17","41195097",43043080
"17","41195098",43043081
"17","41195099",43043082
"17","41195100",43043083
"17","41195101",43043084
"17","41195102",43043085
"17","41195103",43043086
"17","41195104",43043087
"17","41195105",43043088
"17","41195106",43043089
"17","41195107",43043090
"17","41195108",43043091
"17","41195109",43043092
"17","41195110",43043093
"17","41195111",43043094
"17","41195112",43043095
"17","41195113",43043096
"17","41195114",43043097
"17","41195115",43043098
"17","41195116",43043099
"17","41195117",43043100
"17","41195118",43043101
"17","41195119",43043102
"17","41195120",43043103
"17","41195121",43043104
"17","41195122",43043105
"17","41195123",43043106
"17","41195124",43043107
"17","41195125",43043108
"17","41195126",43043109
"17","41195127",43043110
"17","41195128",43043111
"17","41195129",43043112
"17","41195130",43043113
"17","41195131",43043114
"17","41195132",43043115
"17","41195133",43043116
"17","41195134",43043117
"17","41195135",43043118
"17","41195136",43043119
"17","41195137",43043120
"17","41195138",43043121
"17","41195139",43043122
"17","41195140",43043123
"17","41195141",43043124
"17","41195142",43043125
"17","41195143",43043126
"17","41195144",43043127
"17","41195145",43043128
"17","41195146",43043129
"17","41195147",43043130
"17","41195148",43043131
"17","41195149",43043132
"17","41195150",43043133
"17","41195151",43043134
"17","41195152",43043135
"17","41195153",43043136
"17","41195154",43043137
"17","41195155",43043138
"17","41195156",43043139
"17","41195157",43043140
"17","41195158",43043141
"17","41195159",43043142
"17","41195160",43043143
"17","41195161",43043144
"17","41195162",43043145
"17","41195163",43043146
"17","41195164",43043147
"17","41195165",43043148
"17","41195166",43043149
"17","41195167",43043150
"17","41195168",43043151
"17","41195169",43043152
"17","41195170",43043153
"17","41195171",43043154
"17","41195172",43043155
"17","41195173",43043156
"17","41195174",43043157
"17","41195175",43043158
"17","41195176",43043159
"17","41195177",43043160
"17","41195178",43043161
"17","41195179",43043162
"17","41195180",43043163
"17","41195181",43043164
"17","41195182",43043165
"17","41195183",43043166
"17","41195184",43043167
"17","41195185",43043168
"17","41195186",43043169
"17","41195187",43043170
"17","41195188",43043171
"17","41195189",43043172
"17","41195190",43043173
"17","41195191",43043174
"17","41195192",43043175
"17","41195193",43043176
"17","41195194",43043177
"17","41195195",43043178
"17","41195196",43043179
"17","41195197",43043180
"17","41195198",43043181
"17","41195199",43043182
"17","41195200",43043183
"17","41195201",43043184
"17","41195202",43043185
"17","41195203",43043186
"17","41195204",43043187
"17","41195205",43043188
"17","41195206",43043189
"17","41195207",43043190
"17","41195208",43043191
"17","41195209",43043192
"17","41195210",43043193
"17","41195211",43043194
"17","41195212",43043195
"17","41195213",43043196
"17","41195214",43043197
"17","41195215",43043198
"17","41195216",43043199
"17","41195217",43043200
"17","41195218",43043201
"17","41195219",43043202
"17","41195220",43043203
"17","41195221",43043204
"17","41195222",43043205
"17","41195223",43043206
"17","41195224",43043207
"17","41195225",43043208
"17","41195226",43043209
"17","41195227",43043210
"17","41195228",43043211
"17","41195229",43043212
"17","41195230",43043213
"17","41195231",43043214
"17","41195232",43043215
"17","41195233",43043216
"17","41195234",43043217
"17","41195235",43043218
"17","41195236",43043219
"17","41195237",43043220
"17","41195238",43043221
"17","41195239",43043222
"17","41195240",43043223
"17","41195241",43043224
"17","41195242",43043225
"17","41195243",43043226
"17","41195244",43043227
"17","41195245",43043228
"17","41195246",43043229
"17","41195247",43043230
"17","41195248",43043231
"17","41195249",43043232
"17","41195250",43043233
"17","41195251",43043234
"17","41195252",43043235
"17","41195253",43043236
"17","41195254",43043237
"17","41195255",43043238
"17","41195256",43043239
"17","41195257",43043240
"17","41195258",43043241
"17","41195259",43043242
"17","41195260",43043243
"17","41195261",43043244
"17","41195262",43043245
"17","41195263",43043246
"17","41195264",43043247
"17","41195265",43043248
"17","41195266",43043249
"17","41195267",43043250
"17","41195268",43043251
"17","41195269",43043252
"17","41195270",43043253
"17","41195271",43043254
"17","41195272",43043255
"17","41195273",43043256
"17","41195274",43043257
"17","41195275",43043258
"17","41195276",43043259
"17","41195277",43043260
"17","41195278",43043261
"17","41195279",43043262
"17","41195280",43043263
"17","41195281",43043264
"17","41195282",43043265
"17","41195283",43043266
"17","41195284",43043267
"17","41195285",43043268
"17","41195286",43043269
"17","41195287",43043270
"17","41195288",43043271
"17","41195289",43043272
"17","41195290",43043273
"17","41195291",43043274
"17","41195292",43043275
"17","41195293",43043276
"17","41195294",43043277
"17","41195295",43043278
"17","41195296",43043279
"17","41195297",43043280
"17","41195298",43043281
"17","41195299",43043282
"17","41195300",43043283
"17","41195301",43043284
"17","41195302",43043285
"17","41195303",43043286
"17","41195304",43043287
"17","41195305",43043288
"17","41195306",43043289
"17","41195307",43043290
"17","41195308",43043291
"17","41195309",43043292
"17","41195310",43043293
"17","41195311",43043294
"17","41195312",43043295
"17","41195313",43043296
"17","41195314",43043297
"17","41195315",43043298
"17","41195316",43043299
"17","41195317",43043300
"17","41195318",43043301
"17","41195319",43043302
"17","41195320",43043303
"17","41195321",43043304
"17","41195322",43043305
"17","41195323",43043306
"17","41195324",43043307
"17","41195325",43043308
"17","41195326",43043309
"17","41195327",43043310
"17","41195328",43043311
"17","41195329",43043312
"17","41195330",43043313
"17","41195331",43043314
"17","41195332",43043315
"17","41195333",43043316
"17","41195334",43043317
"17","41195335",43043318
"17","41195336",43043319
"17","41195337",43043320
"17","41195338",43043321
"17","41195339",43043322
"17","41195340",43043323
"17","41195341",43043324
"17","41195342",43043325
"17","41195343",43043326
"17","41195344",43043327
"17","41195345",43043328
"17","41195346",43043329
"17","41195347",43043330
"17","41195348",43043331
"17","41195349",43043332
"17","41195350",43043333
"17","41195351",43043334
"17","41195352",43043335
"17","41195353",43043336
"17","41195354",43043337
"17","41195355",43043338
"17","41195356",43043339
"17","41195357",43043340
"17","41195358",43043341
"17","41195359",43043342
"17","41195360",43043343
"17","41195361",43043344
"17","41195362",43043345
"17","41195363",43043346
"17","41195364",43043347
"17","41195365",43043348
"17","41195366",43043349
"17","41195367",43043350
"17","41195368",43043351
"17","41195369",43043352
"17","41195370",43043353
"17","41195371",43043354
"17","41195372",43043355
"17","41195373",43043356
"17","41195374",43043357
"17","41195375",43043358
"17","41195376",43043359
"17","41195377",43043360
"17","41195378",43043361
"17","41195379",43043362
"17","41195380",43043363
"17","41195381",43043364
"17","41195382",43043365
"17","41195383",43043366
"17","41195384",43043367
"17","41195385",43043368
"17","41195386",43043369
"17","41195387",43043370
"17","41195388",43043371
"17","41195389",43043372
"17","41195390",43043373
"17","41195391",43043374
"17","41195392",43043375
"17","41195393",43043376
"17","41195394",43043377
"17","41195395",43043378
"17","41195396",43043379
"17","41195397",43043380
"17","41195398",43043381
"17","41195399",43043382
"17","41195400",43043383
"17","41195401",43043384
"17","41195402",43043385
"17","41195403",43043386
"17","41195404",43043387
"17","41195405",43043388
"17","41195406",43043389
"17","41195407",43043390
"17","41195408",43043391
"17","41195409",43043392
"17","41195410",43043393
"17","41195411",43043394
"17","41195412",43043395
"17","41195413",43043396
"17","41195414",43043397
"17","41195415",43043398
"17","41195416",43043399
"17","41195417",43043400
"17","41195418",43043401
"17","41195419",43043402
"17","41195420",43043403
"17","41195421",43043404
"17","41195422",43043405
"17","41195423",43043406
"17","41195424",43043407
"17","41195425",43043408
"17","41195426",43043409
"17","41195427",43043410
"17","41195428",43043411
"17","41195429",43043412
"17","41195430",43043413
"17","41195431",43043414
"17","41195432",43043415
"17","41195433",43043416
"17","41195434",43043417
"17","41195435",43043418
"17","41195436",43043419
"17","41195437",43043420
"17","41195438",43043421
"17","41195439",43043422
"17","41195440",43043423
"17","41195441",43043424
"17","41195442",43043425
"17","41195443",43043426
"17","41195444",43043427
"17","41195445",43043428
"17","41195446",43043429
"17","41195447",43043430
"17","41195448",43043431
"17","41195449",43043432
"17","41195450",43043433
"17","41195451",43043434
"17","41195452",43043435
"17","41195453",43043436
"17","41195454",43043437
"17","41195455",43043438
"17","41195456",43043439
"17","41195457",43043440
"17","41195458",43043441
"17","41195459",43043442
"17","41195460",43043443
"17","41195461",43043444
"17","41195462",43043445
"17","41195463",43043446
"17","41195464",43043447
"17","41195465",43043448
"17","41195466",43043449
"17","41195467",43043450
"17","41195468",43043451
"17","41195469",43043452
"17","41195470",43043453
"17","41195471",43043454
"17","41195472",43043455
"17","41195473",43043456
"17","41195474",43043457
"17","41195475",43043458
"17","41195476",43043459
"17","41195477",43043460
"17","41195478",43043461
"17","41195479",43043462
"17","41195480",43043463
"17","41195481",43043464
"17","41195482",43043465
"17","41195483",43043466
"17","41195484",43043467
"17","41195485",43043468
"17","41195486",43043469
"17","41195487",43043470
"17","41195488",43043471
"17","41195489",43043472
"17","41195490",43043473
"17","41195491",43043474
"17","41195492",43043475
"17","41195493",43043476
"17","41195494",43043477
"17","41195495",43043478
"17","41195496",43043479
"17","41195497",43043480
"17","41195498",43043481
"17","41195499",43043482
"17","41195500",43043483
"17","41195501",43043484
"17","41195502",43043485
"17","41195503",43043486
"17","41195504",43043487
"17","41195505",43043488
"17","41195506",43043489
"17","41195507",43043490
"17","41195508",43043491
"17","41195509",43043492
"17","41195510",43043493
"17","41195511",43043494
"17","41195512",43043495
"17","41195513",43043496
"17","41195514",43043497
"17","41195515",43043498
"17","41195516",43043499
"17","41195517",43043500
"17","41195518",43043501
"17","41195519",43043502
"17","41195520",43043503
"17","41195521",43043504
"17","41195522",43043505
"17","41195523",43043506
"17","41195524",43043507
"17","41195525",43043508
"17","41195526",43043509
"17","41195527",43043510
"17","41195528",43043511
"17","41195529",43043512
"17","41195530",43043513
"17","41195531",43043514
"17","41195532",43043515
"17","41195533",43043516
"17","41195534",43043517
"17","41195535",43043518
"17","41195536",43043519
"17","41195537",43043520
"17","41195538",43043521
"17","41195539",43043522
"17","41195540",43043523
"17","41195541",43043524
"17","41195542",43043525
"17","41195543",43043526
"17","41195544",43043527
"17","41195545",43043528
"17","41195546",43043529
"17","41195547",43043530
"17","41195548",43043531
"17","41195549",43043532
"17","41195550",43043533
"17","41195551",43043534
"17","41195552",43043535
"17","41195553",43043536
"17","41195554",43043537
"17","41195555",43043538
"17","41195556",43043539
"17","41195557",43043540
"17","41195558",43043541
"17","41195559",43043542
"17","41195560",43043543
"17","41195561",43043544
"17","41195562",43043545
"17","41195563",43043546
"17","41195564",43043547
"17","41195565",43043548
"17","41195566",43043549
"17","41195567",43043550
"17","41195568",43043551
"17","41195569",43043552
"17","41195570",43043553
"17","41195571",43043554
"17","41195572",43043555
"17","41195573",43043556
"17","41195574",43043557
"17","41195575",43043558
"17","41195576",43043559
"17","41195577",43043560
"17","41195578",43043561
"17","41195579",43043562
"17","41195580",43043563
"17","41195581",43043564
"17","41195582",43043565
"17","41195583",43043566
"17","41195584",43043567
"17","41195585",43043568
"17","41195586",43043569
"17","41195587",43043570
"17","41195588",43043571
"17","41195589",43043572
"17","41195590",43043573
"17","41195591",43043574
"17","41195592",43043575
"17","41195593",43043576
"17","41195594",43043577
"17","41195595",43043578
"17","41195596",43043579
"17","41195597",43043580
"17","41195598",43043581
"17","41195599",43043582
"17","41195600",43043583
"17","41195601",43043584
"17","41195602",43043585
"17","41195603",43043586
"17","41195604",43043587
"17","41195605",43043588
"17","41195606",43043589
"17","41195607",43043590
"17","41195608",43043591
"17","41195609",43043592
"17","41195610",43043593
"17","41195611",43043594
"17","41195612",43043595
"17","41195613",43043596
