"","cigar","D7_reads","D14_reads","D7_reads_per_thousand","D14_reads_per_thousand","D14_D7_ratio","rep","frame","ratio_normalised"
"1","166M3D79M",89371,143852,57.7772835736,140.338485673,2.42895610511,"r1","In-frame",1.28117315992676
"2","166M12D70M",49191,96970,31.8013936989,94.6015554576,2.97476130616,"r1","In-frame",1.56906266631289
"3","168M1D79M",39740,362,25.6914351324,0.353158328098,0.0137461502745,"r1","Frameshift",0.00725052163230086
"4","169M1D78M",28387,314,18.3518562935,0.306330704483,0.0166920827836,"r1","Frameshift",0.0088043783091154
"5","169M3D76M",26395,36548,17.0640520966,35.655333081,2.08949977878,"r1","In-frame",1.10212408886846
"6","169M2D77M",26303,377,17.0045751959,0.367791960477,0.0216290002096,"r1","Frameshift",0.0114083965890915
"7","163M6D79M",25907,35112,16.7485659279,34.2544066745,2.04521430802,"r1","In-frame",1.07876534788789
"8","169M1I79M",24492,461,15.8337853362,0.449740301804,0.0284038397802,"r1","Frameshift",0.0149818422361339
"9","167M2D79M",18863,143,12.1947040992,0.139507295354,0.0114399901973,"r1","Frameshift",0.00603411826165639
"10","167M8D73M",18704,398,12.0919124991,0.388279045809,0.032110639722,"r1","Frameshift",0.0169370247874617
"11","162M13D73M",15851,244,10.2474820907,0.238040420044,0.0232291618505,"r1","Frameshift",0.0122524151950895
"12","153M22D73M",14332,166,9.26546674175,0.161945531669,0.0174783997593,"r1","Frameshift",0.00921912775738343
"13","163M11D74M",13448,164,8.69397130498,0.159994380685,0.0184029110602,"r1","Frameshift",0.00970676895529153
"14","168M6D74M",13272,19013,8.58018940807,18.5486168291,2.16179573048,"r1","In-frame",1.14025719168351
"15","168M4D76M",12407,175,8.02097724427,0.170725711097,0.0212849015647,"r1","Frameshift",0.0112268988883773
"16","168M1I80M",11983,294,7.7468663108,0.286819194643,0.0370238988432,"r1","Frameshift",0.0195285642972141
"17","167M2I81M",11432,119,7.39065139489,0.116093483546,0.01570815309,"r1","Frameshift",0.00828539638431104
"18","162M5D81M",11363,155,7.3460437194,0.151214201257,0.0205844406912,"r1","Frameshift",0.010857434957424
"19","153M26D69M",10652,183,6.8863907154,0.178530315033,0.0259250923178,"r1","Frameshift",0.0136744062094464
"20","168M5D75M",9252,99,5.9813074445,0.0965819737063,0.0161473013388,"r1","Frameshift",0.00851702879150348
"21","165M4D79M",9153,79,5.91730512749,0.0770704638666,0.0130245884243,"r1","Frameshift",0.00686992781516332
"22","164M23D61M",8312,114,5.3736086769,0.111215606086,0.020696632891,"r1","Frameshift",0.0109166116691128
"23","162M7D79M",8177,64,5.28633279007,0.0624368314869,0.0118109914692,"r1","Frameshift",0.00622980597740267
"24","162M17D69M",8119,72,5.24883648313,0.0702414354228,0.0133822868456,"r1","Frameshift",0.00705859883138862
"25","159M9D80M",8071,6470,5.2178050567,6.31197343313,1.20969897582,"r1","In-frame",0.638065816072576
"26","161M8D79M",7556,60,4.88486371062,0.058534529519,0.0119828377999,"r1","Frameshift",0.00632044775806785
"27","158M13D77M",7005,84,4.52864879472,0.0819483413265,0.0180955390981,"r1","Frameshift",0.00954464304979325
"28","169M9D70M",6865,8716,4.43814046763,8.50311598812,1.91591862631,"r1","In-frame",1.01056726198885
"29","169M2I79M",6258,79,4.04572222089,0.0770704638666,0.0190498654279,"r1","Frameshift",0.0100480104334108
"30","153M14D81M",5486,56,3.5466334458,0.054632227551,0.0154039678433,"r1","Frameshift",0.00812495133843398
"31","156M15D77M",5301,3714,3.42703315643,3.62328737722,1.05726650774,"r1","In-frame",0.557664039196231
"32","169M7D72M",5131,38,3.31713018782,0.0370718686953,0.0111758859605,"r1","Frameshift",0.00589481427880579
"33","168M10D70M",4628,66,2.99194669835,0.0643879824709,0.0215204309978,"r1","Frameshift",0.0113511308526461
"34","159M10D79M",4254,51,2.75016016741,0.0497543500911,0.0180914372481,"r1","Frameshift",0.00954247949479323
"35","160M11D77M",4040,66,2.61181172458,0.0643879824709,0.024652612539,"r1","Frameshift",0.0130032261351262
"36","155M27D66M",4009,2916,2.59177059501,2.84477813462,1.09761957331,"r1","In-frame",0.578948600255315
"37","164M6D78M",3661,4179,2.36679275339,4.076929981,1.72255469988,"r1","In-frame",0.908575845956677
"38","169M18D61M",3546,7761,2.29244662756,7.57144139328,3.30277760984,"r1","In-frame",1.74207760199209
"39","159M15D74M",3486,2747,2.25365734452,2.67990587648,1.1891363534,"r1","In-frame",0.627219889344303
"40","164M3D81M",3407,4647,2.20258478852,4.53349931124,2.05826324365,"r1","In-frame",1.08564811783981
"41","153M37D58M",3377,43,2.183190147,0.0419497461553,0.0192148843347,"r1","Frameshift",0.0101350510323858
"42","157M11D80M",3309,35,2.13922895956,0.0341451422194,0.015961424824,"r1","Frameshift",0.00841898667319533
"43","165M10D73M",3305,28,2.13664300736,0.0273161137755,0.0127845941888,"r1","Frameshift",0.00674334085362339
"44","151M23D74M",3292,36,2.1282386627,0.0351207177114,0.0165022458838,"r1","Frameshift",0.00870424725270158
"45","163M9D76M",3281,4300,2.12112729414,4.19497461553,1.97770997861,"r1","In-frame",1.04315962622129
"46","166M11D71M",3202,90,2.07005473814,0.0878017942784,0.0424152041299,"r1","Frameshift",0.0223722532448077
"47","169M13D66M",3070,47,1.98471831546,0.0458520481232,0.0231025469791,"r1","Frameshift",0.0121856311249518
"48","157M12D79M",2971,2286,1.92071599845,2.23016557467,1.16111157322,"r1","In-frame",0.6124379852564
"49","160M23D65M",2931,28,1.89485647642,0.0273161137755,0.0144159275995,"r1","Frameshift",0.00760380126963654
"50","167M1I81M",2908,37,1.87998725126,0.0360962932034,0.0192002861611,"r1","Frameshift",0.0101273511039429
"51","162M8D78M",2854,35,1.84507689652,0.0341451422194,0.0185060808489,"r1","Frameshift",0.00976118672098095
"52","159M17D72M",2835,22,1.83279362356,0.0214626608236,0.0117103532813,"r1","Frameshift",0.00617672352567376
"53","169M10D69M",2403,24,1.55351078568,0.0234138118076,0.0150715476348,"r1","Frameshift",0.00794961352642022
"54","159M21D68M",2380,2065,1.53864156052,2.01456339094,1.30931299572,"r1","In-frame",0.690608061846305
"55","165M2D81M",2311,34,1.49403388502,0.0331695667274,0.0222013483495,"r1","Frameshift",0.0117102863899945
"56","139M31D78M",2300,20,1.48692251647,0.0195115098397,0.0131220757125,"r1","Frameshift",0.00692134829856075
"57","163M10D75M",2214,21,1.43132454411,0.0204870853316,0.014313375269,"r1","Frameshift",0.00754970918742553
